Year-Month,ME1 BM1,ME1 BM2,ME1 BM3,ME1 BM4,ME1 BM5,ME1 BM6,ME1 BM7,ME1 BM8,ME1 BM9,ME1 BM10,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME2 BM6,ME2 BM7,ME2 BM8,ME2 BM9,ME2 BM10,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME3 BM6,ME3 BM7,ME3 BM8,ME3 BM9,ME3 BM10,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,ME4 BM6,ME4 BM7,ME4 BM8,ME4 BM9,ME4 BM10,ME5 BM1,ME5 BM2,ME5 BM3,ME5 BM4,ME5 BM5,ME5 BM6,ME5 BM7,ME5 BM8,ME5 BM9,ME5 BM10,ME6 BM1,ME6 BM2,ME6 BM3,ME6 BM4,ME6 BM5,ME6 BM6,ME6 BM7,ME6 BM8,ME6 BM9,ME6 BM10,ME7 BM1,ME7 BM2,ME7 BM3,ME7 BM4,ME7 BM5,ME7 BM6,ME7 BM7,ME7 BM8,ME7 BM9,ME7 BM10,ME8 BM1,ME8 BM2,ME8 BM3,ME8 BM4,ME8 BM5,ME8 BM6,ME8 BM7,ME8 BM8,ME8 BM9,ME8 BM10,ME9 BM1,ME9 BM2,ME9 BM3,ME9 BM4,ME9 BM5,ME9 BM6,ME9 BM7,ME9 BM8,ME9 BM9,ME9 BM10,BIG LoBM,ME10 BM2,ME10 BM3,ME10 BM4,ME10 BM5,ME10 BM6,ME10 BM7,ME10 BM8,ME10 BM9,ME10 BM10
200011,-29.2994,-22.4099,-15.7277,-15.3941,-11.4525,-8.3155,-8.8469,-7.4071,-5.7225,-10.2487,-25.9235,-18.0924,-19.9786,-11.0476,-8.0786,-4.4582,-6.5233,-4.5494,-6.304,-4.1234,-24.3708,-17.1311,-11.1811,-5.1922,-7.7834,-0.6397,-6.6946,-1.6107,-2.6538,-8.597,-27.9583,-10.4326,-7.5354,-8.3484,-5.7479,-2.998,-4.646,-8.3366,-3.363,-11.9099,-28.2986,-13.9367,-8.0475,-2.4581,-8.6215,-1.0184,-2.8347,-1.8101,2.2768,-7.2124,-27.0132,-13.0815,-8.1891,-4.7446,-8.4437,-4.5198,-0.7154,-2.6268,0.811,-3.9461,-21.6705,-14.2007,-8.7656,4.7019,2.0843,-0.7453,-1.1243,-4.3023,-5.0349,-99.99,-27.0512,-13.9296,-3.1658,-1.7576,0.6101,-1.3162,0.4207,2.9671,-2.3221,9.3399,-24.179,-8.4765,-1.8887,-1.2574,-7.4103,-1.3486,1.443,0.7217,2.3835,-7.1623,-17.9459,-7.3992,-5.5626,-3.7393,-10.9562,4.5661,3.4446,-4.5466,-99.99,-9.0226
200012,-19.0563,-15.3876,-16.1325,-11.6332,-7.6136,-2.8086,-6.73,-4.2032,-2.9025,-3.8532,-13.1908,-11.0003,-4.7912,-0.2568,1.3634,0.3592,6.2654,5.2632,3.6331,1.7155,-7.5035,-4.0153,5.8157,5.0976,5.5312,9.4406,7.1246,10.7045,11.6543,13.7729,-6.1356,0.7612,3.4227,4.6217,10.6891,13.361,8.3765,8.7432,11.6096,12.4963,-6.9734,8.7737,16.5666,14.0996,13.4464,9.7869,11.2776,13.7755,10.0432,10.5092,-4.2328,-0.2204,13.5068,8.3725,11.4775,10.4006,13.5906,18.0499,10.5523,2.5406,3.904,3.5414,10.7898,8.4218,15.9698,9.1658,13.8179,21.8903,11.1196,-99.99,1.6197,-0.8638,10.3426,4.5575,11.1891,11.2541,11.9526,15.9283,6.0527,21.4091,0.5741,3.7489,10.4478,16.2792,8.8434,7.8397,7.7272,12.7085,3.6504,6.0387,-1.0898,3.5677,6.1064,9.0041,7.0698,8.9471,7.8028,13.8889,-99.99,-7.6446
200101,62.4835,63.6197,41.4482,40.4371,38.5337,26.4434,27.2068,19.82,19.8085,27.2705,51.0203,39.1963,39.5799,24.4263,12.7113,15.1249,18.1174,16.5867,17.0911,14.7266,51.3453,29.0395,18.9462,21.601,21.4186,7.5397,11.1839,6.9074,11.885,5.7162,40.0163,25.6439,16.2906,11.5438,11.8865,6.5636,12.6655,16.4235,6.1128,25.5674,53.779,8.1428,8.0064,4.2886,8.5998,0.7874,1.2228,1.4253,10.4669,22.8126,32.9678,27.2129,10.3204,6.8945,3.0999,4.6052,2.6528,3.3573,5.0767,14.3613,22.0464,14.2244,5.9382,1.2455,2.9954,4.6955,-0.9537,7.9821,6.3131,-99.99,18.7997,17.4561,2.3038,7.8535,3.623,-2.1454,-4.4746,-1.6278,20.8711,0.1314,20.7364,11.6549,0.7465,-0.9194,0.2421,-3.7324,-4.8484,-4.3625,1.5706,8.4445,7.0611,6.3577,8.8977,1.8722,19.2715,-6.4945,-3.7516,-10.7489,-99.99,10.1888
200102,-11.1612,-12.4566,-10.0237,-7.5055,-5.404,-2.9125,-2.9449,-1.5468,-0.9884,-0.5526,-16.8819,-12.486,-18.0389,-9.9755,-4.4716,-4.5521,1.6821,0.2651,-1.0242,1.1068,-20.2664,-9.9005,-9.6886,-4.8037,-8.4456,0.8512,-3.1158,-1.1486,0.2509,3.1211,-22.9957,-15.5729,-2.1375,-2.2044,1.7465,-1.0826,-5.1536,-4.4831,1.7078,-1.2954,-25.9709,-11.0044,-7.2277,-2.1145,-3.132,2.9009,4.1744,0.3144,0.4908,-2.8346,-27.4932,-16.8637,-6.5848,-5.3796,-8.5905,1.7608,1.9433,-0.1587,-1.3786,-3.9653,-18.6262,-13.2303,-7.9388,0.7608,-1.8947,-0.2622,1.2942,3.5526,4.1134,-99.99,-25.2797,-13.5928,-4.7104,-1.0247,0.3077,-0.1248,-1.5311,-0.2393,-0.6965,6.5964,-19.3585,-8.4163,-1.2549,0.7939,-0.421,-0.1053,6.9608,0.2565,6.5946,3.2181,-21.337,-7.3155,-3.0347,-2.6394,-4.5925,4.9655,2.9164,3.0093,-99.99,-99.99
200103,-13.5788,-9.4391,-5.0196,-4.9596,-4.8511,-5.2189,-1.608,-2.5296,-3.0015,-3.3729,-21.1986,-14.9822,-1.6803,-8.5034,-4.3021,-0.7872,1.1602,-0.6932,-4.9633,-4.5611,-11.9694,-12.6238,-5.503,-6.2079,-3.2888,-3.0978,0.3248,0.9087,-0.4217,-1.0345,-14.2401,-6.8662,-3.4309,-0.5794,-0.1264,-4.1741,-1.3287,-11.775,-5.0855,8.0111,-19.1588,-9.6994,-9.127,-0.0638,-2.7506,-0.8922,-0.4197,-0.7905,-0.7268,1.6506,-16.6542,-11.628,-3.8944,-6.8782,-6.304,-2.8694,-5.9585,-5.2608,-0.8874,-1.588,-19.5872,-7.5908,-4.6116,-3.5534,-3.0022,-1.4064,-5.2384,-4.4923,-4.0509,-99.99,-18.038,-9.0771,-3.8286,-1.4295,-2.2267,-4.6729,-1.5814,-0.2751,3.6781,-9.1845,-17.0969,-5.0204,-5.5266,-3.1542,-12.3818,-0.0898,0.3275,-5.3041,-3.7173,-2.6656,-16.2711,-6.4055,-1.3932,-0.1518,1.2747,1.8278,-6.9073,5.2183,-99.99,-99.99
200104,10.5151,6.1412,5.2739,3.0816,4.5665,5.9165,2.3805,1.8986,2.1396,1.0565,17.503,21.3533,5.6324,11.2167,1.9338,3.7663,6.3619,6.6614,6.2383,11.0456,4.0924,10.529,10.7377,6.2908,10.0895,5.4528,3.2819,3.548,7.1921,8.9351,15.9436,9.0429,7.2513,3.8373,10.193,7.0182,3.641,-0.0128,8.1512,3.9437,14.9766,14.2914,12.4537,3.1808,6.4634,5.0505,5.4996,4.6193,6.2293,6.0885,9.7449,13.9296,13.2261,8.9427,14.3269,4.1145,8.2243,5.3441,3.7054,2.3506,18.2523,13.5109,10.5696,3.532,5.9887,2.8754,12.2653,11.0735,-1.9293,-99.99,26.856,9.877,9.0849,9.3099,10.1595,12.0434,7.4762,6.5392,14.0305,6.701,22.4347,11.7772,9.1966,6.8238,8.6572,3.9215,2.5029,-0.9476,7.4461,10.5922,17.0435,7.2191,7.548,4.0771,5.6925,-1.0689,3.9737,-0.453,-99.99,-99.99
200105,11.8846,12.9224,10.2402,7.8426,7.0258,6.8234,7.4901,8.4193,7.8912,9.7839,8.2135,12.9257,8.0037,14.3572,9.7035,13.0909,14.5901,16.6641,13.47,12.1116,4.8269,8.1682,5.3079,6.7583,2.5667,3.8171,7.4242,4.3999,5.3441,9.3554,1.1799,1.7153,2.5735,4.8222,6.0184,1.5096,2.9117,0.4103,8.2795,5.0079,3.6485,6.6749,0.9207,2.1359,4.0274,-0.4038,1.301,2.2833,0.4969,14.2602,6.7351,7.7181,-4.3191,0.5338,6.8122,3.2452,1.888,4.5736,3.3259,-3.8626,6.648,2.7911,3.7474,3.6312,3.6047,3.025,-1.155,-2.1215,4.8311,-99.99,0.6274,6.7945,5.3938,4.3118,2.0731,2.1315,2.3121,2.5506,3.8494,-4.0274,1.5893,2.3469,-0.3585,3.1604,8.8684,4.0316,3.0773,9.6378,6.7501,6.6271,-2.2781,0.4236,1.1609,-0.0168,2.4188,7.7035,0.8892,8.2874,-99.99,-99.99
200106,-4.2192,-1.1078,0.4191,-1.7461,2.0699,3.071,2.0288,1.7462,1.897,0.8984,1.238,0.7099,-1.5256,4.8519,7.4611,3.4505,2.8226,3.0574,-0.2377,-0.1102,-2.3771,8.5863,10.7761,4.5442,8.7185,9.2874,7.7428,5.6058,4.5889,3.4753,3.6656,2.2065,8.5265,8.257,6.7394,0.2317,6.8778,7.2739,6.5416,-0.7864,4.3446,11.2175,-0.242,0.9154,3.1526,5.8492,6.4103,2.5468,4.3434,-3.7624,0.6389,3.3288,-1.5258,-1.3082,0.6138,0.7691,-1.7942,-2.2693,-1.5008,7.825,3.6332,5.5435,-2.1128,-0.9684,0.7317,-5.5752,-1.9288,-7.3518,7.3264,-99.99,3.3904,-2.6219,-1.9329,-1.2156,-0.1212,-1.1974,-3.2783,-3.6188,-0.6839,9.4233,-0.2701,2.8316,-2.8151,-3.1891,-7.1117,-2.5084,-4.6022,0.3049,-0.4676,-0.8295,-4.5616,-5.3558,-3.8023,-0.5188,-0.4372,3.3728,1.0446,-2.2879,-99.99,-99.99
200107,-3.4493,-6.8619,-5.8792,-3.2089,-3.2449,-3.0253,-0.1421,-1.0396,-0.1068,-0.2338,-16.5108,-7.534,-9.7615,-4.8641,-7.1505,-3.9999,1.7224,-0.6774,-2.9383,3.0449,-11.1075,-12.6625,-9.7171,-9.412,-4.2036,-3.0988,-2.7693,-3.8016,-1.7369,-5.9405,-7.64,-10.897,-5.9468,-8.3929,-9.5532,-5.9694,-4.253,-2.9063,-3.4201,-7.5535,-14.5462,-5.0294,-4.9305,-5.052,-8.1044,-1.871,-1.8818,2.6466,-0.3568,1.9849,-14.0219,-3.066,-3.7164,-5.6743,0.3863,-2.0479,-1.756,-0.5157,-3.2387,-11.7141,-5.9978,-5.5269,-0.4029,-0.8373,1.824,1.1294,4.5551,6.1449,1.1045,4.7324,-7.8642,-0.825,0.466,-0.9047,-1.3343,-2.2647,-0.0551,-2.2946,-2.8381,-2.3297,-7.5061,-3.483,-0.5753,-2.932,-3.9605,-1.0943,-6.4698,-2.5172,-3.6303,4.6184,-0.6234,-0.8916,0.4042,1.4013,-0.555,-0.5225,-0.6506,-9.4269,8.3169,-99.99
200108,-7.8681,-7.9288,-1.239,-6.8739,-2.0418,-3.3645,-2.2825,-2.6499,-1.4667,-3.1491,-7.3033,-8.422,-8.7833,-4.2006,-4.5965,-5.3462,-1.6314,-1.3455,0.2597,0.3825,-13.1279,-10.5876,-6.2842,-3.456,-6.0918,0.6371,-0.4813,-2.8955,-0.3948,-1.3986,-8.9642,-11.3742,-5.4555,-3.7878,-6.4118,-1.7966,-2.2571,-0.9585,0.096,-4.1716,-9.0695,-5.301,-2.8903,-2.0769,-3.7076,-4.5902,-1.9886,-2.8171,-1.237,-0.7651,-8.3631,-9.2032,-5.7909,-2.549,-1.752,-2.9638,-2.0425,-2.9136,-0.0238,8.7676,-8.0704,-11.1276,-3.4922,-3.0421,-3.3648,-4.299,2.3529,-4.3202,-4.0781,-12.6175,-8.3538,-6.9608,-5.7002,-3.5082,-3.758,-3.1415,0.5787,-6.8676,-14.3777,-10.0183,-6.6058,-4.7117,-2.8665,-5.6844,-3.8294,-1.7781,-1.0076,-4.0124,-10.7513,-14.4178,-7.8156,-7.3312,-3.1219,-6.3764,-2.3261,-2.4305,-6.9228,-13.503,-6.966,-99.99
